label,query,flattened_query
15d,select count(*) from  movie_info as mi  join info_type as it1 on (it1.info = 'release dates' and it1.id = mi.info_type_id and mi.note like '%internet%') join title as t on (t.production_year > 1990 and t.id = mi.movie_id) join aka_title as at   on(at.movie_id = mi.movie_id) join movie_companies as mc   on(mc.movie_id = at.movie_id) join company_type as ct on (ct.id = mc.company_type_id) join company_name as cn on (cn.country_code = '[us]' and cn.id = mc.company_id) join movie_keyword as mk   on(mk.movie_id = mc.movie_id) join keyword as k on (k.id = mk.keyword_id);,SELECT COUNT(*) FROM movie_info AS mi JOIN info_type AS it1 ON it1.info = 'release dates' AND it1.id = mi.info_type_id AND mi.note LIKE '%internet%' JOIN title AS t ON t.production_year > 1990 AND t.id = mi.movie_id JOIN aka_title AS at ON at.movie_id = mi.movie_id JOIN movie_companies AS mc ON mc.movie_id = at.movie_id JOIN company_type AS ct ON ct.id = mc.company_type_id JOIN company_name AS cn ON cn.country_code = '[us]' AND cn.id = mc.company_id JOIN movie_keyword AS mk ON mk.movie_id = mc.movie_id JOIN keyword AS k ON k.id = mk.keyword_id
16a,select count(*) from  movie_keyword as mk  join keyword as k on (k.keyword ='character-name-in-title' and mk.keyword_id = k.id) join title as t on (t.episode_nr >= 50 and t.episode_nr < 100 and t.id = mk.movie_id) join movie_companies as mc   on(mc.movie_id = mk.movie_id) join company_name as cn on (cn.country_code ='[us]' and mc.company_id = cn.id) join cast_info as ci   on(ci.movie_id = mc.movie_id) join aka_name as an   on(an.person_id = ci.person_id) join name as n on (an.person_id = n.id);,SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.keyword = 'character-name-in-title' AND mk.keyword_id = k.id JOIN title AS t ON t.episode_nr >= 50 AND t.episode_nr < 100 AND t.id = mk.movie_id JOIN movie_companies AS mc ON mc.movie_id = mk.movie_id JOIN company_name AS cn ON cn.country_code = '[us]' AND mc.company_id = cn.id JOIN cast_info AS ci ON ci.movie_id = mc.movie_id JOIN aka_name AS an ON an.person_id = ci.person_id JOIN name AS n ON an.person_id = n.id
16b,select count(*) from  movie_keyword as mk  join keyword as k on (k.keyword ='character-name-in-title' and mk.keyword_id = k.id) join title as t on (t.id = mk.movie_id) join movie_companies as mc   on(mc.movie_id = mk.movie_id) join company_name as cn on (cn.country_code ='[us]' and mc.company_id = cn.id) join cast_info as ci   on(ci.movie_id = mc.movie_id) join aka_name as an   on(an.person_id = ci.person_id) join name as n on (an.person_id = n.id);,SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.keyword = 'character-name-in-title' AND mk.keyword_id = k.id JOIN title AS t ON t.id = mk.movie_id JOIN movie_companies AS mc ON mc.movie_id = mk.movie_id JOIN company_name AS cn ON cn.country_code = '[us]' AND mc.company_id = cn.id JOIN cast_info AS ci ON ci.movie_id = mc.movie_id JOIN aka_name AS an ON an.person_id = ci.person_id JOIN name AS n ON an.person_id = n.id
16c,select count(*) from  movie_keyword as mk  join keyword as k on (k.keyword ='character-name-in-title' and mk.keyword_id = k.id) join title as t on (t.episode_nr < 100 and t.id = mk.movie_id) join movie_companies as mc   on(mc.movie_id = mk.movie_id) join company_name as cn on (cn.country_code ='[us]' and mc.company_id = cn.id) join cast_info as ci   on(ci.movie_id = mc.movie_id) join aka_name as an   on(an.person_id = ci.person_id) join name as n on (an.person_id = n.id);,SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.keyword = 'character-name-in-title' AND mk.keyword_id = k.id JOIN title AS t ON t.episode_nr < 100 AND t.id = mk.movie_id JOIN movie_companies AS mc ON mc.movie_id = mk.movie_id JOIN company_name AS cn ON cn.country_code = '[us]' AND mc.company_id = cn.id JOIN cast_info AS ci ON ci.movie_id = mc.movie_id JOIN aka_name AS an ON an.person_id = ci.person_id JOIN name AS n ON an.person_id = n.id
16d,select count(*) from  movie_keyword as mk  join keyword as k on (k.keyword ='character-name-in-title' and mk.keyword_id = k.id) join title as t on (t.episode_nr >= 5 and t.episode_nr < 100 and t.id = mk.movie_id) join movie_companies as mc   on(mc.movie_id = mk.movie_id) join company_name as cn on (cn.country_code ='[us]' and mc.company_id = cn.id) join cast_info as ci   on(ci.movie_id = mc.movie_id) join aka_name as an   on(an.person_id = ci.person_id) join name as n on (an.person_id = n.id);,SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.keyword = 'character-name-in-title' AND mk.keyword_id = k.id JOIN title AS t ON t.episode_nr >= 5 AND t.episode_nr < 100 AND t.id = mk.movie_id JOIN movie_companies AS mc ON mc.movie_id = mk.movie_id JOIN company_name AS cn ON cn.country_code = '[us]' AND mc.company_id = cn.id JOIN cast_info AS ci ON ci.movie_id = mc.movie_id JOIN aka_name AS an ON an.person_id = ci.person_id JOIN name AS n ON an.person_id = n.id
17a,select count(*) from  movie_keyword as mk  join keyword as k on (k.keyword ='character-name-in-title' and mk.keyword_id = k.id) join title as t on (t.id = mk.movie_id) join movie_companies as mc   on(mc.movie_id = mk.movie_id) join company_name as cn on (cn.country_code ='[us]' and mc.company_id = cn.id) join cast_info as ci   on(ci.movie_id = mc.movie_id) join name as n on (n.name like 'b%' and n.id = ci.person_id);,SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.keyword = 'character-name-in-title' AND mk.keyword_id = k.id JOIN title AS t ON t.id = mk.movie_id JOIN movie_companies AS mc ON mc.movie_id = mk.movie_id JOIN company_name AS cn ON cn.country_code = '[us]' AND mc.company_id = cn.id JOIN cast_info AS ci ON ci.movie_id = mc.movie_id JOIN name AS n ON n.name LIKE 'b%' AND n.id = ci.person_id
17b,"select count(*) from  movie_keyword as mk  join keyword as k on (k.keyword ='character-name-in-title' and mk.keyword_id = k.id) join title as t on (t.id = mk.movie_id) join movie_companies as mc   on(mc.movie_id = mk.movie_id) join company_name as cn on (mc.company_id = cn.id) join  (select person_id, movie_id from cast_info as ci  join name as n on (n.name like 'z%' and n.id = ci.person_id)) as t_ci  on(t_ci.movie_id = mc.movie_id);",SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.keyword = 'character-name-in-title' AND mk.keyword_id = k.id JOIN title AS t ON t.id = mk.movie_id JOIN movie_companies AS mc ON mc.movie_id = mk.movie_id JOIN company_name AS cn ON mc.company_id = cn.id JOIN cast_info AS ci ON ci.movie_id = mc.movie_id JOIN name AS n ON n.name LIKE 'z%' AND n.id = ci.person_id
17c,"select count(*) from  movie_keyword as mk  join keyword as k on (k.keyword ='character-name-in-title' and mk.keyword_id = k.id) join title as t on (t.id = mk.movie_id) join movie_companies as mc   on(mc.movie_id = mk.movie_id) join company_name as cn on (mc.company_id = cn.id) join  (select person_id, movie_id from cast_info as ci  join name as n on (n.name like 'x%' and n.id = ci.person_id)) as t_ci  on(t_ci.movie_id = mc.movie_id);",SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.keyword = 'character-name-in-title' AND mk.keyword_id = k.id JOIN title AS t ON t.id = mk.movie_id JOIN movie_companies AS mc ON mc.movie_id = mk.movie_id JOIN company_name AS cn ON mc.company_id = cn.id JOIN cast_info AS ci ON ci.movie_id = mc.movie_id JOIN name AS n ON n.name LIKE 'x%' AND n.id = ci.person_id
17d,"select count(*) from  movie_keyword as mk  join keyword as k on (k.keyword ='character-name-in-title' and mk.keyword_id = k.id) join title as t on (t.id = mk.movie_id) join movie_companies as mc   on(mc.movie_id = mk.movie_id) join company_name as cn on (mc.company_id = cn.id) join  (select person_id, movie_id from cast_info as ci  join name as n on (n.name like '%bert%' and n.id = ci.person_id)) as t_ci  on(t_ci.movie_id = mc.movie_id);",SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.keyword = 'character-name-in-title' AND mk.keyword_id = k.id JOIN title AS t ON t.id = mk.movie_id JOIN movie_companies AS mc ON mc.movie_id = mk.movie_id JOIN company_name AS cn ON mc.company_id = cn.id JOIN cast_info AS ci ON ci.movie_id = mc.movie_id JOIN name AS n ON n.name LIKE '%bert%' AND n.id = ci.person_id
17e,select count(*) from  movie_keyword as mk  join keyword as k on (k.keyword ='character-name-in-title' and mk.keyword_id = k.id) join title as t on (t.id = mk.movie_id) join movie_companies as mc   on(mc.movie_id = mk.movie_id) join company_name as cn on (cn.country_code ='[us]' and mc.company_id = cn.id) join cast_info as ci   on(ci.movie_id = mc.movie_id) join name as n on (n.id = ci.person_id);,SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.keyword = 'character-name-in-title' AND mk.keyword_id = k.id JOIN title AS t ON t.id = mk.movie_id JOIN movie_companies AS mc ON mc.movie_id = mk.movie_id JOIN company_name AS cn ON cn.country_code = '[us]' AND mc.company_id = cn.id JOIN cast_info AS ci ON ci.movie_id = mc.movie_id JOIN name AS n ON n.id = ci.person_id
17f,select count(*) from  movie_keyword as mk  join keyword as k on (k.keyword ='character-name-in-title' and mk.keyword_id = k.id) join title as t on (t.id = mk.movie_id) join movie_companies as mc   on(mc.movie_id = mk.movie_id) join company_name as cn on (mc.company_id = cn.id) join cast_info as ci   on(ci.movie_id = mc.movie_id) join name as n on (n.name like '%b%' and n.id = ci.person_id);,SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.keyword = 'character-name-in-title' AND mk.keyword_id = k.id JOIN title AS t ON t.id = mk.movie_id JOIN movie_companies AS mc ON mc.movie_id = mk.movie_id JOIN company_name AS cn ON mc.company_id = cn.id JOIN cast_info AS ci ON ci.movie_id = mc.movie_id JOIN name AS n ON n.name LIKE '%b%' AND n.id = ci.person_id
18a,"select count(*) from  movie_info_idx as mi_idx  join info_type as it2 on (it2.info = 'votes' and it2.id = mi_idx.info_type_id) join title as t on (t.id = mi_idx.movie_id) join  (select person_id, movie_id from cast_info as ci  join name as n on (n.gender = 'm' and n.name like '%tim%' and n.id = ci.person_id and ci.note in ('(producer)', '(executive producer)'))) as t_ci  on(t_ci.movie_id = mi_idx.movie_id) join  (select movie_id from movie_info as mi  join info_type as it1 on (it1.info = 'budget' and it1.id = mi.info_type_id)) as t_mi  on(t_mi.movie_id = t_ci.movie_id);","SELECT COUNT(*) FROM movie_info_idx AS mi_idx JOIN info_type AS it2 ON it2.info = 'votes' AND it2.id = mi_idx.info_type_id JOIN title AS t ON t.id = mi_idx.movie_id JOIN cast_info AS ci ON ci.movie_id = mi_idx.movie_id JOIN name AS n ON n.gender = 'm' AND n.name LIKE '%tim%' AND n.id = ci.person_id AND ci.note IN ('(producer)', '(executive producer)') JOIN movie_info AS mi ON mi.movie_id = ci.movie_id JOIN info_type AS it1 ON it1.info = 'budget' AND it1.id = mi.info_type_id"
18b,"select count(*) from  movie_info as mi  join info_type as it1 on (it1.info = 'genres' and it1.id = mi.info_type_id and mi.info in ('horror', 'thriller') and mi.note is null) join title as t on (t.production_year between 2008 and 2014 and t.id = mi.movie_id) join movie_info_idx as mi_idx   on(mi_idx.movie_id = mi.movie_id and mi_idx.info > '8.0') join info_type as it2 on (it2.info = 'rating' and it2.id = mi_idx.info_type_id) join cast_info as ci   on(ci.movie_id = mi_idx.movie_id and ci.note in ('(writer)',  '(head writer)',  '(written by)', '(story)', '(story editor)')) join name as n on (n.gender is not null and n.gender = 'f' and n.id = ci.person_id);","SELECT COUNT(*) FROM movie_info AS mi JOIN info_type AS it1 ON it1.info = 'genres' AND it1.id = mi.info_type_id AND mi.info IN ('horror', 'thriller') AND mi.note IS NULL JOIN title AS t ON t.production_year BETWEEN 2008 AND 2014 AND t.id = mi.movie_id JOIN movie_info_idx AS mi_idx ON mi_idx.movie_id = mi.movie_id AND mi_idx.info > '8.0' JOIN info_type AS it2 ON it2.info = 'rating' AND it2.id = mi_idx.info_type_id JOIN cast_info AS ci ON ci.movie_id = mi_idx.movie_id AND ci.note IN ('(writer)', '(head writer)', '(written by)', '(story)', '(story editor)') JOIN name AS n ON n.gender IS NOT NULL AND n.gender = 'f' AND n.id = ci.person_id"
18c,"select count(*) from  movie_info as mi  join info_type as it1 on (it1.info = 'genres' and it1.id = mi.info_type_id and mi.info in ('horror', 'action', 'sci-fi', 'thriller', 'crime', 'war')) join title as t on (t.id = mi.movie_id) join  (select movie_id from movie_info_idx as mi_idx  join info_type as it2 on (it2.info = 'votes' and it2.id = mi_idx.info_type_id)) as t_mi_idx  on(t_mi_idx.movie_id = mi.movie_id) join cast_info as ci   on(ci.movie_id = t_mi_idx.movie_id and ci.note in ('(writer)', '(head writer)','(written by)', '(story)', '(story editor)')) join name as n on (n.gender = 'm' and n.id = ci.person_id);","SELECT COUNT(*) FROM movie_info AS mi JOIN info_type AS it1 ON it1.info = 'genres' AND it1.id = mi.info_type_id AND mi.info IN ('horror', 'action', 'sci-fi', 'thriller', 'crime', 'war') JOIN title AS t ON t.id = mi.movie_id JOIN movie_info_idx AS mi_idx ON mi_idx.movie_id = mi.movie_id JOIN info_type AS it2 ON it2.info = 'votes' AND it2.id = mi_idx.info_type_id JOIN cast_info AS ci ON ci.movie_id = mi_idx.movie_id AND ci.note IN ('(writer)', '(head writer)', '(written by)', '(story)', '(story editor)') JOIN name AS n ON n.gender = 'm' AND n.id = ci.person_id"
19a,"select count(*) from  aka_name as an  join name as n on (n.gender ='f' and n.name like '%ang%' and n.id = an.person_id) join cast_info as ci   on(ci.person_id = an.person_id and ci.note in ('(voice)', '(voice: japanese version)', '(voice) (uncredited)', '(voice: english version)')) join role_type as rt on (rt.role ='actress' and rt.id = ci.role_id) join title as t on (t.production_year between 2005 and 2009 and t.id = ci.movie_id) join char_name as chn on (chn.id = ci.person_role_id) join movie_companies as mc   on(mc.movie_id = ci.movie_id and mc.note is not null and (mc.note like '%(usa)%' or mc.note like '%(worldwide)%')) join company_name as cn on (cn.country_code ='[us]' and cn.id = mc.company_id) join movie_info as mi   on(mi.movie_id = mc.movie_id and mi.info is not null and (mi.info like 'japan:%200%' or mi.info like 'usa:%200%')) join info_type as it on (it.info = 'release dates' and it.id = mi.info_type_id);","SELECT COUNT(*) FROM aka_name AS an JOIN name AS n ON n.gender = 'f' AND n.name LIKE '%ang%' AND n.id = an.person_id JOIN cast_info AS ci ON ci.person_id = an.person_id AND ci.note IN ('(voice)', '(voice: japanese version)', '(voice) (uncredited)', '(voice: english version)') JOIN role_type AS rt ON rt.role = 'actress' AND rt.id = ci.role_id JOIN title AS t ON t.production_year BETWEEN 2005 AND 2009 AND t.id = ci.movie_id JOIN char_name AS chn ON chn.id = ci.person_role_id JOIN movie_companies AS mc ON mc.movie_id = ci.movie_id AND mc.note IS NOT NULL AND (mc.note LIKE '%(usa)%' OR mc.note LIKE '%(worldwide)%') JOIN company_name AS cn ON cn.country_code = '[us]' AND cn.id = mc.company_id JOIN movie_info AS mi ON mi.movie_id = mc.movie_id AND mi.info IS NOT NULL AND (mi.info LIKE 'japan:%200%' OR mi.info LIKE 'usa:%200%') JOIN info_type AS it ON it.info = 'release dates' AND it.id = mi.info_type_id"
19b,select count(*) from  movie_info as mi  join info_type as it on (it.info = 'release dates' and it.id = mi.info_type_id and mi.info is not null and (mi.info like 'japan:%2007%' or mi.info like 'usa:%2008%')) join title as t on (t.production_year between 2007 and 2008 and t.title like '%kung%fu%panda%' and t.id = mi.movie_id) join movie_companies as mc   on(mc.movie_id = mi.movie_id and mc.note like '%(200%)%' and (mc.note like '%(usa)%' or mc.note like '%(worldwide)%')) join company_name as cn on (cn.country_code ='[us]' and cn.id = mc.company_id) join cast_info as ci   on(ci.movie_id = mc.movie_id and ci.note = '(voice)') join role_type as rt on (rt.role ='actress' and rt.id = ci.role_id) join char_name as chn on (chn.id = ci.person_role_id) join  (select person_id from aka_name as an  join name as n on (n.gender ='f' and n.name like '%angel%' and n.id = an.person_id)) as t_an  on(t_an.person_id = ci.person_id);,SELECT COUNT(*) FROM movie_info AS mi JOIN info_type AS it ON it.info = 'release dates' AND it.id = mi.info_type_id AND mi.info IS NOT NULL AND (mi.info LIKE 'japan:%2007%' OR mi.info LIKE 'usa:%2008%') JOIN title AS t ON t.production_year BETWEEN 2007 AND 2008 AND t.title LIKE '%kung%fu%panda%' AND t.id = mi.movie_id JOIN movie_companies AS mc ON mc.movie_id = mi.movie_id AND mc.note LIKE '%(200%)%' AND (mc.note LIKE '%(usa)%' OR mc.note LIKE '%(worldwide)%') JOIN company_name AS cn ON cn.country_code = '[us]' AND cn.id = mc.company_id JOIN cast_info AS ci ON ci.movie_id = mc.movie_id AND ci.note = '(voice)' JOIN role_type AS rt ON rt.role = 'actress' AND rt.id = ci.role_id JOIN char_name AS chn ON chn.id = ci.person_role_id JOIN aka_name AS an ON an.person_id = ci.person_id JOIN name AS n ON n.gender = 'f' AND n.name LIKE '%angel%' AND n.id = an.person_id
19c,"select count(*) from  movie_info as mi  join info_type as it on (it.info = 'release dates' and it.id = mi.info_type_id and mi.info is not null and (mi.info like 'japan:%200%' or mi.info like 'usa:%200%')) join title as t on (t.production_year > 2000 and t.id = mi.movie_id) join movie_companies as mc   on(mc.movie_id = mi.movie_id) join company_name as cn on (cn.country_code ='[us]' and cn.id = mc.company_id) join cast_info as ci   on(ci.movie_id = mc.movie_id and ci.note in ('(voice)', '(voice: japanese version)', '(voice) (uncredited)', '(voice: english version)')) join role_type as rt on (rt.role ='actress' and rt.id = ci.role_id) join char_name as chn on (chn.id = ci.person_role_id) join aka_name as an   on(an.person_id = ci.person_id) join name as n on (n.gender ='f' and n.name like '%an%' and n.id = an.person_id);","SELECT COUNT(*) FROM movie_info AS mi JOIN info_type AS it ON it.info = 'release dates' AND it.id = mi.info_type_id AND mi.info IS NOT NULL AND (mi.info LIKE 'japan:%200%' OR mi.info LIKE 'usa:%200%') JOIN title AS t ON t.production_year > 2000 AND t.id = mi.movie_id JOIN movie_companies AS mc ON mc.movie_id = mi.movie_id JOIN company_name AS cn ON cn.country_code = '[us]' AND cn.id = mc.company_id JOIN cast_info AS ci ON ci.movie_id = mc.movie_id AND ci.note IN ('(voice)', '(voice: japanese version)', '(voice) (uncredited)', '(voice: english version)') JOIN role_type AS rt ON rt.role = 'actress' AND rt.id = ci.role_id JOIN char_name AS chn ON chn.id = ci.person_role_id JOIN aka_name AS an ON an.person_id = ci.person_id JOIN name AS n ON n.gender = 'f' AND n.name LIKE '%an%' AND n.id = an.person_id"
19d,"select count(*) from  aka_name as an  join name as n on (n.gender ='f' and n.id = an.person_id) join cast_info as ci   on(ci.person_id = an.person_id and ci.note in ('(voice)', '(voice: japanese version)', '(voice) (uncredited)', '(voice: english version)')) join role_type as rt on (rt.role ='actress' and rt.id = ci.role_id) join title as t on (t.production_year > 2000 and t.id = ci.movie_id) join char_name as chn on (chn.id = ci.person_role_id) join movie_companies as mc   on(mc.movie_id = ci.movie_id) join company_name as cn on (cn.country_code ='[us]' and cn.id = mc.company_id) join  (select movie_id from movie_info as mi  join info_type as it on (it.info = 'release dates' and it.id = mi.info_type_id)) as t_mi  on(t_mi.movie_id = mc.movie_id);","SELECT COUNT(*) FROM aka_name AS an JOIN name AS n ON n.gender = 'f' AND n.id = an.person_id JOIN cast_info AS ci ON ci.person_id = an.person_id AND ci.note IN ('(voice)', '(voice: japanese version)', '(voice) (uncredited)', '(voice: english version)') JOIN role_type AS rt ON rt.role = 'actress' AND rt.id = ci.role_id JOIN title AS t ON t.production_year > 2000 AND t.id = ci.movie_id JOIN char_name AS chn ON chn.id = ci.person_role_id JOIN movie_companies AS mc ON mc.movie_id = ci.movie_id JOIN company_name AS cn ON cn.country_code = '[us]' AND cn.id = mc.company_id JOIN movie_info AS mi ON mi.movie_id = mc.movie_id JOIN info_type AS it ON it.info = 'release dates' AND it.id = mi.info_type_id"
20a,"select count(*) from  complete_cast as cc  join comp_cast_type as cct1 on (cct1.kind = 'cast' and cct1.id = cc.subject_id) join comp_cast_type as cct2 on (cct2.kind like '%complete%' and cct2.id = cc.status_id) join title as t on (t.production_year > 1950 and t.id = cc.movie_id) join kind_type as kt on (kt.kind = 'movie' and kt.id = t.kind_id) join  (select movie_id from movie_keyword as mk  join keyword as k on (k.keyword in ('superhero',  'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence') and k.id = mk.keyword_id)) as t_mk  on(t_mk.movie_id = cc.movie_id) join cast_info as ci   on(ci.movie_id = t_mk.movie_id) join char_name as chn on (chn.name not like '%sherlock%' and (chn.name like '%tony%stark%' or chn.name like '%iron%man%') and chn.id = ci.person_role_id) join name as n on (n.id = ci.person_id);","SELECT COUNT(*) FROM complete_cast AS cc JOIN comp_cast_type AS cct1 ON cct1.kind = 'cast' AND cct1.id = cc.subject_id JOIN comp_cast_type AS cct2 ON cct2.kind LIKE '%complete%' AND cct2.id = cc.status_id JOIN title AS t ON t.production_year > 1950 AND t.id = cc.movie_id JOIN kind_type AS kt ON kt.kind = 'movie' AND kt.id = t.kind_id JOIN movie_keyword AS mk ON mk.movie_id = cc.movie_id JOIN keyword AS k ON k.keyword IN ('superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence') AND k.id = mk.keyword_id JOIN cast_info AS ci ON ci.movie_id = mk.movie_id JOIN char_name AS chn ON chn.name NOT LIKE '%sherlock%' AND (chn.name LIKE '%tony%stark%' OR chn.name LIKE '%iron%man%') AND chn.id = ci.person_role_id JOIN name AS n ON n.id = ci.person_id"
20b,"select count(*) from  complete_cast as cc  join comp_cast_type as cct1 on (cct1.kind = 'cast' and cct1.id = cc.subject_id) join comp_cast_type as cct2 on (cct2.kind like '%complete%' and cct2.id = cc.status_id) join title as t on (t.production_year > 2000 and t.id = cc.movie_id) join kind_type as kt on (kt.kind = 'movie' and kt.id = t.kind_id) join  (select movie_id from movie_keyword as mk  join keyword as k on (k.keyword in ('superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence') and k.id = mk.keyword_id)) as t_mk  on(t_mk.movie_id = cc.movie_id) join  (select person_id, movie_id from cast_info as ci  join name as n on (n.name like '%downey%robert%' and n.id = ci.person_id) join char_name as chn on (chn.name not like '%sherlock%' and (chn.name like '%tony%stark%' or chn.name like '%iron%man%') and chn.id = ci.person_role_id)) as t_ci  on(t_ci.movie_id = t_mk.movie_id);","SELECT COUNT(*) FROM complete_cast AS cc JOIN comp_cast_type AS cct1 ON cct1.kind = 'cast' AND cct1.id = cc.subject_id JOIN comp_cast_type AS cct2 ON cct2.kind LIKE '%complete%' AND cct2.id = cc.status_id JOIN title AS t ON t.production_year > 2000 AND t.id = cc.movie_id JOIN kind_type AS kt ON kt.kind = 'movie' AND kt.id = t.kind_id JOIN movie_keyword AS mk ON mk.movie_id = cc.movie_id JOIN keyword AS k ON k.keyword IN ('superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence') AND k.id = mk.keyword_id JOIN cast_info AS ci ON ci.movie_id = mk.movie_id JOIN name AS n ON n.name LIKE '%downey%robert%' AND n.id = ci.person_id JOIN char_name AS chn ON chn.name NOT LIKE '%sherlock%' AND (chn.name LIKE '%tony%stark%' OR chn.name LIKE '%iron%man%') AND chn.id = ci.person_role_id"
20c,"select count(*) from  complete_cast as cc  join comp_cast_type as cct1 on (cct1.kind = 'cast' and cct1.id = cc.subject_id) join comp_cast_type as cct2 on (cct2.kind like '%complete%' and cct2.id = cc.status_id) join title as t on (t.production_year > 2000 and t.id = cc.movie_id) join kind_type as kt on (kt.kind = 'movie' and kt.id = t.kind_id) join  (select movie_id from movie_keyword as mk  join keyword as k on (k.keyword in ('superhero', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence', 'magnet', 'web', 'claw', 'laser') and k.id = mk.keyword_id)) as t_mk  on(t_mk.movie_id = cc.movie_id) join cast_info as ci   on(ci.movie_id = t_mk.movie_id) join char_name as chn on (chn.name is not null and (chn.name like '%man%' or chn.name like '%man%') and chn.id = ci.person_role_id) join name as n on (n.id = ci.person_id);","SELECT COUNT(*) FROM complete_cast AS cc JOIN comp_cast_type AS cct1 ON cct1.kind = 'cast' AND cct1.id = cc.subject_id JOIN comp_cast_type AS cct2 ON cct2.kind LIKE '%complete%' AND cct2.id = cc.status_id JOIN title AS t ON t.production_year > 2000 AND t.id = cc.movie_id JOIN kind_type AS kt ON kt.kind = 'movie' AND kt.id = t.kind_id JOIN movie_keyword AS mk ON mk.movie_id = cc.movie_id JOIN keyword AS k ON k.keyword IN ('superhero', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence', 'magnet', 'web', 'claw', 'laser') AND k.id = mk.keyword_id JOIN cast_info AS ci ON ci.movie_id = mk.movie_id JOIN char_name AS chn ON chn.name IS NOT NULL AND (chn.name LIKE '%man%' OR chn.name LIKE '%man%') AND chn.id = ci.person_role_id JOIN name AS n ON n.id = ci.person_id"
21a,"select count(*) from  movie_link as ml  join link_type as lt on (lt.link like '%follow%' and lt.id = ml.link_type_id) join title as t on (t.production_year between 1950 and 2000 and ml.movie_id = t.id) join movie_companies as mc   on(mc.movie_id = ml.movie_id and mc.note is null) join company_type as ct on (ct.kind ='production companies' and mc.company_type_id = ct.id) join company_name as cn on (cn.country_code !='[pl]' and (cn.name like '%film%' or cn.name like '%warner%') and mc.company_id = cn.id) join  (select movie_id from movie_keyword as mk  join keyword as k on (k.keyword ='sequel' and mk.keyword_id = k.id)) as t_mk  on(t_mk.movie_id = mc.movie_id) join movie_info as mi   on(mi.movie_id = t_mk.movie_id and mi.info in ('sweden', 'norway', 'germany', 'denmark', 'swedish','denish', 'norwegian', 'german'));","SELECT COUNT(*) FROM movie_link AS ml JOIN link_type AS lt ON lt.link LIKE '%follow%' AND lt.id = ml.link_type_id JOIN title AS t ON t.production_year BETWEEN 1950 AND 2000 AND ml.movie_id = t.id JOIN movie_companies AS mc ON mc.movie_id = ml.movie_id AND mc.note IS NULL JOIN company_type AS ct ON ct.kind = 'production companies' AND mc.company_type_id = ct.id JOIN company_name AS cn ON cn.country_code <> '[pl]' AND (cn.name LIKE '%film%' OR cn.name LIKE '%warner%') AND mc.company_id = cn.id JOIN movie_keyword AS mk ON mk.movie_id = mc.movie_id JOIN keyword AS k ON k.keyword = 'sequel' AND mk.keyword_id = k.id JOIN movie_info AS mi ON mi.movie_id = mk.movie_id AND mi.info IN ('sweden', 'norway', 'germany', 'denmark', 'swedish', 'denish', 'norwegian', 'german')"
21b,"select count(*) from  movie_link as ml  join link_type as lt on (lt.link like '%follow%' and lt.id = ml.link_type_id) join title as t on (t.production_year between 2000 and 2010 and ml.movie_id = t.id) join movie_companies as mc   on(mc.movie_id = ml.movie_id and mc.note is null) join company_type as ct on (ct.kind ='production companies' and mc.company_type_id = ct.id) join company_name as cn on (cn.country_code !='[pl]' and (cn.name like '%film%'  or cn.name like '%warner%') and mc.company_id = cn.id) join  (select movie_id from movie_keyword as mk  join keyword as k on (k.keyword ='sequel' and mk.keyword_id = k.id)) as t_mk  on(t_mk.movie_id = mc.movie_id) join movie_info as mi   on(mi.movie_id = t_mk.movie_id and mi.info in ('germany', 'german'));","SELECT COUNT(*) FROM movie_link AS ml JOIN link_type AS lt ON lt.link LIKE '%follow%' AND lt.id = ml.link_type_id JOIN title AS t ON t.production_year BETWEEN 2000 AND 2010 AND ml.movie_id = t.id JOIN movie_companies AS mc ON mc.movie_id = ml.movie_id AND mc.note IS NULL JOIN company_type AS ct ON ct.kind = 'production companies' AND mc.company_type_id = ct.id JOIN company_name AS cn ON cn.country_code <> '[pl]' AND (cn.name LIKE '%film%' OR cn.name LIKE '%warner%') AND mc.company_id = cn.id JOIN movie_keyword AS mk ON mk.movie_id = mc.movie_id JOIN keyword AS k ON k.keyword = 'sequel' AND mk.keyword_id = k.id JOIN movie_info AS mi ON mi.movie_id = mk.movie_id AND mi.info IN ('germany', 'german')"
